algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
LCA,260,20,0,302,0.193000,2363,2363,0,no
Binary Lifting,260,20,0,302,0.280300,3376,3376,0,no
Basic BFS,270,1,0,312,0.002400,5,5,2,no
TwoWays BFS,270,1,0,312,1.342100,11812,11812,2,no
LCA,270,1,0,312,0.196200,2541,2541,2,no
Binary Lifting,270,1,0,312,0.292400,3502,3502,2,no
Basic BFS,270,5,0,312,0.030500,149,149,29,no
TwoWays BFS,270,5,0,312,1.384500,11812,11812,29,no
LCA,270,5,0,312,0.206500,2541,2541,29,no
Binary Lifting,270,5,0,312,0.295700,3502,3502,29,no
Basic BFS,270,10,0,312,0.070600,697,697,21,no
TwoWays BFS,270,10,0,312,1.341200,11812,11812,21,no
LCA,270,10,0,312,0.206900,2541,2541,21,no
Binary Lifting,270,10,0,312,0.304500,3502,3502,21,no
Basic BFS,270,20,0,312,0.078200,808,808,0,no
TwoWays BFS,270,20,0,312,1.343400,11812,11812,0,no
LCA,270,20,0,312,0.202600,2541,2541,0,no
Binary Lifting,270,20,0,312,0.294700,3502,3502,0,no
Basic BFS,280,1,0,322,0.002900,5,5,2,no
TwoWays BFS,280,1,0,322,2.025200,14607,14607,2,no
LCA,280,1,0,322,0.212500,2826,2826,2,no
Binary Lifting,280,1,0,322,0.309600,3647,3647,2,no
Basic BFS,280,5,0,322,0.021300,92,92,14,no
TwoWays BFS,280,5,0,322,1.588700,14607,14607,14,no
LCA,280,5,0,322,0.222500,2826,2826,14,no
Binary Lifting,280,5,0,322,0.309200,3647,3647,14,no
Basic BFS,280,10,0,322,0.070800,680,680,32,no
TwoWays BFS,280,10,0,322,1.596900,14607,14607,32,no
LCA,280,10,0,322,0.228300,2826,2826,32,no
Binary Lifting,280,10,0,322,0.306500,3647,3647,32,no
Basic BFS,280,20,0,322,0.093800,838,838,0,no
TwoWays BFS,280,20,0,322,1.909000,14607,14607,0,no
LCA,280,20,0,322,0.223900,2826,2826,0,no
Binary Lifting,280,20,0,322,0.305000,3647,3647,0,no
Basic BFS,290,1,0,332,0.002400,5,5,2,no
TwoWays BFS,290,1,0,332,1.970900,18587,18587,2,no
LCA,290,1,0,332,0.235200,3079,3079,2,no
Binary Lifting,290,1,0,332,0.319900,3793,3793,2,no
Basic BFS,290,5,0,332,0.029400,117,117,19,no
TwoWays BFS,290,5,0,332,2.389300,18587,18587,19,no
LCA,290,5,0,332,0.237700,3079,3079,19,no
Binary Lifting,290,5,0,332,0.312500,3793,3793,19,no
Basic BFS,290,10,0,332,0.067100,616,616,33,no
TwoWays BFS,290,10,0,332,1.963900,18587,18587,33,no
LCA,290,10,0,332,0.245900,3079,3079,33,no
Binary Lifting,290,10,0,332,0.321400,3793,3793,33,no
Basic BFS,290,20,0,332,0.088700,868,868,0,no
TwoWays BFS,290,20,0,332,2.007700,18587,18587,0,no
LCA,290,20,0,332,0.240700,3079,3079,0,no
Binary Lifting,290,20,0,332,0.324800,3793,3793,0,no
Basic BFS,300,1,0,342,0.003700,5,5,2,no
TwoWays BFS,300,1,0,342,1.737600,13696,13696,2,no
LCA,300,1,0,342,0.229300,2795,2795,2,no
Binary Lifting,300,1,0,342,0.343900,3896,3896,2,no
Basic BFS,300,5,0,342,0.028700,153,153,31,no
TwoWays BFS,300,5,0,342,1.552400,13696,13696,31,no
LCA,300,5,0,342,0.234800,2795,2795,31,no
Binary Lifting,300,5,0,342,0.333300,3896,3896,31,no
Basic BFS,300,10,0,342,0.072400,812,812,26,no
TwoWays BFS,300,10,0,342,1.536700,13696,13696,26,no
LCA,300,10,0,342,0.236600,2795,2795,26,no
Binary Lifting,300,10,0,342,0.334800,3896,3896,26,no
Basic BFS,300,20,0,342,0.084800,898,898,0,no
TwoWays BFS,300,20,0,342,1.527700,13696,13696,0,no
LCA,300,20,0,342,0.230600,2795,2795,0,no
Binary Lifting,300,20,0,342,0.329100,3896,3896,0,no
Basic BFS,310,1,0,352,0.003100,5,5,2,no
TwoWays BFS,310,1,0,352,2.023100,15669,15669,2,no
LCA,310,1,0,352,0.230200,2994,2994,2,no
Binary Lifting,310,1,0,352,0.359600,4022,4022,2,no
Basic BFS,310,5,0,352,0.029000,140,140,26,no
TwoWays BFS,310,5,0,352,1.728200,15669,15669,26,no
LCA,310,5,0,352,0.247800,2994,2994,26,no
Binary Lifting,310,5,0,352,0.338000,4022,4022,26,no
Basic BFS,310,10,0,352,0.091100,797,797,32,no
TwoWays BFS,310,10,0,352,2.030000,15669,15669,32,no
LCA,310,10,0,352,0.243200,2994,2994,32,no
Binary Lifting,310,10,0,352,0.336200,4022,4022,32,no
Basic BFS,310,20,0,352,0.100000,928,928,0,no
TwoWays BFS,310,20,0,352,2.372700,15669,15669,0,no
LCA,310,20,0,352,0.235300,2994,2994,0,no
Binary Lifting,310,20,0,352,0.331100,4022,4022,0,no
Basic BFS,320,1,0,362,0.002500,5,5,2,no
TwoWays BFS,320,1,0,362,2.178300,20516,20516,2,no
LCA,320,1,0,362,0.250000,3381,3381,2,no
Binary Lifting,320,1,0,362,0.357900,4179,4179,2,no
Basic BFS,320,5,0,362,0.028400,115,115,18,no
TwoWays BFS,320,5,0,362,2.204800,20516,20516,18,no
LCA,320,5,0,362,0.263200,3381,3381,18,no
Binary Lifting,320,5,0,362,0.351100,4179,4179,18,no
Basic BFS,320,10,0,362,0.071600,684,684,40,no
TwoWays BFS,320,10,0,362,2.240200,20516,20516,40,no
LCA,320,10,0,362,0.266200,3381,3381,40,no
Binary Lifting,320,10,0,362,0.359000,4179,4179,40,no
Basic BFS,320,20,0,362,0.161100,958,958,0,no
TwoWays BFS,320,20,0,362,2.500900,20516,20516,0,no
LCA,320,20,0,362,0.300200,3381,3381,0,no
Binary Lifting,320,20,0,362,0.373900,4179,4179,0,no
Basic BFS,330,1,0,372,0.007000,5,5,2,no
TwoWays BFS,330,1,0,372,2.362400,20160,20160,2,no
LCA,330,1,0,372,0.301000,3435,3435,2,no
Binary Lifting,330,1,0,372,0.445100,4328,4328,2,no
Basic BFS,330,5,0,372,0.031400,132,132,22,no
TwoWays BFS,330,5,0,372,3.164200,20160,20160,22,no
LCA,330,5,0,372,0.302000,3435,3435,22,no
Binary Lifting,330,5,0,372,0.385400,4328,4328,22,no
Basic BFS,330,10,0,372,0.094500,703,703,36,no
TwoWays BFS,330,10,0,372,2.345100,20160,20160,36,no
LCA,330,10,0,372,0.338100,3435,3435,36,no
Binary Lifting,330,10,0,372,0.406700,4328,4328,36,no
Basic BFS,330,20,0,372,0.130200,988,988,0,no
TwoWays BFS,330,20,0,372,2.249400,20160,20160,0,no
LCA,330,20,0,372,0.306300,3435,3435,0,no
Binary Lifting,330,20,0,372,0.383400,4328,4328,0,no
Basic BFS,340,1,0,382,0.003400,5,5,2,no
TwoWays BFS,340,1,0,382,2.362100,17988,17988,2,no
LCA,340,1,0,382,0.268300,3426,3426,2,no
Binary Lifting,340,1,0,382,0.385100,4424,4424,2,no
Basic BFS,340,5,0,382,0.019400,129,129,22,no
TwoWays BFS,340,5,0,382,2.352200,17988,17988,22,no
LCA,340,5,0,382,0.301200,3426,3426,22,no
Binary Lifting,340,5,0,382,0.391600,4424,4424,22,no
Basic BFS,340,10,0,382,0.084500,814,814,48,no
TwoWays BFS,340,10,0,382,2.132900,17988,17988,48,no
LCA,340,10,0,382,0.283000,3426,3426,48,no
Binary Lifting,340,10,0,382,0.391200,4424,4424,48,no
Basic BFS,340,20,0,382,0.091800,1018,1018,0,no
TwoWays BFS,340,20,0,382,2.330300,17988,17988,0,no
LCA,340,20,0,382,0.279100,3426,3426,0,no
Binary Lifting,340,20,0,382,0.382300,4424,4424,0,no
Basic BFS,350,1,0,392,0.003000,5,5,2,no
TwoWays BFS,350,1,0,392,2.564600,22242,22242,2,no
LCA,350,1,0,392,0.277800,3751,3751,2,no
Binary Lifting,350,1,0,392,0.388700,4581,4581,2,no
Basic BFS,350,5,0,392,0.015100,108,108,16,no
TwoWays BFS,350,5,0,392,2.605700,22242,22242,16,no
LCA,350,5,0,392,0.287600,3751,3751,16,no
Binary Lifting,350,5,0,392,0.449300,4581,4581,16,no
Basic BFS,350,10,0,392,0.084100,722,722,47,no
TwoWays BFS,350,10,0,392,2.697200,22242,22242,47,no
LCA,350,10,0,392,0.292500,3751,3751,47,no
Binary Lifting,350,10,0,392,0.394700,4581,4581,47,no
Basic BFS,350,20,0,392,0.102700,1048,1048,0,no
TwoWays BFS,350,20,0,392,2.612300,22242,22242,0,no
LCA,350,20,0,392,0.291300,3751,3751,0,no
Binary Lifting,350,20,0,392,0.388500,4581,4581,0,no
Basic BFS,360,1,0,402,0.003000,5,5,2,no
TwoWays BFS,360,1,0,402,2.728300,24806,24806,2,no
LCA,360,1,0,402,0.290600,3807,3807,2,no
Binary Lifting,360,1,0,402,0.412500,4728,4728,2,no
Basic BFS,360,5,0,402,0.030000,133,133,24,no
TwoWays BFS,360,5,0,402,2.670000,24806,24806,24,no
LCA,360,5,0,402,0.301300,3807,3807,24,no
Binary Lifting,360,5,0,402,0.409200,4728,4728,24,no
Basic BFS,360,10,0,402,0.077700,737,737,47,no
TwoWays BFS,360,10,0,402,2.662600,24806,24806,47,no
LCA,360,10,0,402,0.305000,3807,3807,47,no
Binary Lifting,360,10,0,402,0.414300,4728,4728,47,no
Basic BFS,360,20,0,402,0.106700,1078,1078,0,no
TwoWays BFS,360,20,0,402,2.661700,24806,24806,0,no
LCA,360,20,0,402,0.298400,3807,3807,0,no
Binary Lifting,360,20,0,402,0.402800,4728,4728,0,no
Basic BFS,370,1,0,412,0.002500,5,5,2,no
TwoWays BFS,370,1,0,412,2.484400,22506,22506,2,no
LCA,370,1,0,412,0.297700,3902,3902,2,no
Binary Lifting,370,1,0,412,0.413600,4838,4838,2,no
Basic BFS,370,5,0,412,0.030500,149,149,29,no
TwoWays BFS,370,5,0,412,2.458600,22506,22506,29,no
LCA,370,5,0,412,0.294900,3902,3902,29,no
Binary Lifting,370,5,0,412,0.411700,4838,4838,29,no
Basic BFS,370,10,0,412,0.083200,796,796,42,no
TwoWays BFS,370,10,0,412,2.444400,22506,22506,42,no
LCA,370,10,0,412,0.296700,3902,3902,42,no
Binary Lifting,370,10,0,412,0.410700,4838,4838,42,no
Basic BFS,370,20,0,412,0.125000,1108,1108,0,no
TwoWays BFS,370,20,0,412,2.610300,22506,22506,0,no
LCA,370,20,0,412,0.298600,3902,3902,0,no
Binary Lifting,370,20,0,412,0.417400,4838,4838,0,no
Basic BFS,380,1,0,422,0.002500,5,5,2,no
TwoWays BFS,380,1,0,422,2.279800,20449,20449,2,no
LCA,380,1,0,422,0.291600,3739,3739,2,no
Binary Lifting,380,1,0,422,0.422900,4962,4962,2,no
Basic BFS,380,5,0,422,0.031400,151,151,30,no
TwoWays BFS,380,5,0,422,2.278200,20449,20449,30,no
LCA,380,5,0,422,0.308000,3739,3739,30,no
Binary Lifting,380,5,0,422,0.421800,4962,4962,30,no
Basic BFS,380,10,0,422,0.094900,950,950,32,no
TwoWays BFS,380,10,0,422,2.283200,20449,20449,32,no
LCA,380,10,0,422,0.310800,3739,3739,32,no
Binary Lifting,380,10,0,422,0.429700,4962,4962,32,no
Basic BFS,380,20,0,422,0.135700,1138,1138,0,no
TwoWays BFS,380,20,0,422,2.319600,20449,20449,0,no
LCA,380,20,0,422,0.304500,3739,3739,0,no
Binary Lifting,380,20,0,422,0.432900,4962,4962,0,no
Basic BFS,390,1,0,432,0.003000,5,5,2,no
TwoWays BFS,390,1,0,432,3.620400,33393,33393,2,no
LCA,390,1,0,432,0.318600,4444,4444,2,no
Binary Lifting,390,1,0,432,0.478500,5147,5147,2,no
Basic BFS,390,5,0,432,0.027100,114,114,19,no
TwoWays BFS,390,5,0,432,3.554800,33393,33393,19,no
LCA,390,5,0,432,0.358200,4444,4444,19,no
Binary Lifting,390,5,0,432,0.442800,5147,5147,19,no
Basic BFS,390,10,0,432,0.071300,678,678,40,no
TwoWays BFS,390,10,0,432,3.518800,33393,33393,40,no
LCA,390,10,0,432,0.340100,4444,4444,40,no
Binary Lifting,390,10,0,432,0.447200,5147,5147,40,no
Basic BFS,390,20,0,432,0.123600,1168,1168,0,no
TwoWays BFS,390,20,0,432,3.506400,33393,33393,0,no
LCA,390,20,0,432,0.341100,4444,4444,0,no
Binary Lifting,390,20,0,432,0.459900,5147,5147,0,no
Basic BFS,400,1,0,442,0.002500,5,5,2,no
TwoWays BFS,400,1,0,442,2.815000,25738,25738,2,no
LCA,400,1,0,442,0.342800,4410,4410,2,no
Binary Lifting,400,1,0,442,0.456300,5253,5253,2,no
Basic BFS,400,5,0,442,0.024200,86,86,14,no
TwoWays BFS,400,5,0,442,2.836200,25738,25738,14,no
LCA,400,5,0,442,0.342100,4410,4410,14,no
Binary Lifting,400,5,0,442,0.452200,5253,5253,14,no
Basic BFS,400,10,0,442,0.083200,810,810,64,no
TwoWays BFS,400,10,0,442,2.819900,25738,25738,64,no
LCA,400,10,0,442,0.356700,4410,4410,64,no
Binary Lifting,400,10,0,442,0.460800,5253,5253,64,no
Basic BFS,400,20,0,442,0.109300,1198,1198,0,no
TwoWays BFS,400,20,0,442,3.026400,25738,25738,0,no
LCA,400,20,0,442,0.357600,4410,4410,0,no
Binary Lifting,400,20,0,442,0.448900,5253,5253,0,no
Basic BFS,410,1,0,452,0.002400,5,5,2,no
TwoWays BFS,410,1,0,452,2.959800,26848,26848,2,no
LCA,410,1,0,452,0.332400,4417,4417,2,no
Binary Lifting,410,1,0,452,0.469800,5373,5373,2,no
Basic BFS,410,5,0,452,0.025900,118,118,21,no
TwoWays BFS,410,5,0,452,3.274000,26848,26848,21,no
LCA,410,5,0,452,0.346600,4417,4417,21,no
Binary Lifting,410,5,0,452,0.458200,5373,5373,21,no
Basic BFS,410,10,0,452,0.084800,837,837,58,no
TwoWays BFS,410,10,0,452,2.936900,26848,26848,58,no
LCA,410,10,0,452,0.351700,4417,4417,58,no
Binary Lifting,410,10,0,452,0.468300,5373,5373,58,no
Basic BFS,410,20,0,452,0.129600,1228,1228,0,no
TwoWays BFS,410,20,0,452,3.041300,26848,26848,0,no
LCA,410,20,0,452,0.342900,4417,4417,0,no
Binary Lifting,410,20,0,452,0.461700,5373,5373,0,no
Basic BFS,420,1,0,462,0.002500,5,5,2,no
TwoWays BFS,420,1,0,462,2.995300,27924,27924,2,no
LCA,420,1,0,462,0.355300,4611,4611,2,no
Binary Lifting,420,1,0,462,0.473800,5540,5540,2,no
Basic BFS,420,5,0,462,0.026200,137,137,26,no
TwoWays BFS,420,5,0,462,3.047200,27924,27924,26,no
LCA,420,5,0,462,0.365800,4611,4611,26,no
Binary Lifting,420,5,0,462,0.478700,5540,5540,26,no
Basic BFS,420,10,0,462,0.078000,786,786,49,no
TwoWays BFS,420,10,0,462,3.402200,27924,27924,49,no
LCA,420,10,0,462,0.370600,4611,4611,49,no
Binary Lifting,420,10,0,462,0.478000,5540,5540,49,no
Basic BFS,420,20,0,462,0.119000,1258,1258,0,no
TwoWays BFS,420,20,0,462,3.004200,27924,27924,0,no
LCA,420,20,0,462,0.361000,4611,4611,0,no
Binary Lifting,420,20,0,462,0.474400,5540,5540,0,no
Basic BFS,430,1,0,472,0.002500,5,5,2,no
TwoWays BFS,430,1,0,472,2.953000,25071,25071,2,no
LCA,430,1,0,472,0.382200,4449,4449,2,no
Binary Lifting,430,1,0,472,0.511300,5609,5609,2,no
Basic BFS,430,5,0,472,0.015400,138,138,25,no
TwoWays BFS,430,5,0,472,2.781400,25071,25071,25,no
LCA,430,5,0,472,0.352600,4449,4449,25,no
Binary Lifting,430,5,0,472,0.485500,5609,5609,25,no
Basic BFS,430,10,0,472,0.090900,988,988,60,no
TwoWays BFS,430,10,0,472,2.770500,25071,25071,60,no
LCA,430,10,0,472,0.358000,4449,4449,60,no
Binary Lifting,430,10,0,472,0.487700,5609,5609,60,no
Basic BFS,430,20,0,472,0.127700,1288,1288,0,no
TwoWays BFS,430,20,0,472,3.059000,25071,25071,0,no
LCA,430,20,0,472,0.353400,4449,4449,0,no
Binary Lifting,430,20,0,472,0.480500,5609,5609,0,no
Basic BFS,440,1,0,482,0.002700,5,5,2,no
TwoWays BFS,440,1,0,482,2.984400,27075,27075,2,no
LCA,440,1,0,482,0.356800,4734,4734,2,no
Binary Lifting,440,1,0,482,0.496900,5752,5752,2,no
Basic BFS,440,5,0,482,0.018600,140,140,26,no
TwoWays BFS,440,5,0,482,3.101800,27075,27075,26,no
LCA,440,5,0,482,0.369300,4734,4734,26,no
Binary Lifting,440,5,0,482,0.493500,5752,5752,26,no
Basic BFS,440,10,0,482,0.111900,929,929,50,no
TwoWays BFS,440,10,0,482,3.154200,27075,27075,50,no
LCA,440,10,0,482,0.370900,4734,4734,50,no
Binary Lifting,440,10,0,482,0.497000,5752,5752,50,no
Basic BFS,440,20,0,482,0.108600,1318,1318,0,no
TwoWays BFS,440,20,0,482,2.965600,27075,27075,0,no
LCA,440,20,0,482,0.375000,4734,4734,0,no
Binary Lifting,440,20,0,482,0.535000,5752,5752,0,no
Basic BFS,450,1,0,492,0.002500,5,5,2,no
TwoWays BFS,450,1,0,492,3.367300,31329,31329,2,no
LCA,450,1,0,492,0.367200,4924,4924,2,no
Binary Lifting,450,1,0,492,0.508700,5912,5912,2,no
Basic BFS,450,5,0,492,0.030500,143,143,26,no
TwoWays BFS,450,5,0,492,3.446400,31329,31329,26,no
LCA,450,5,0,492,0.388800,4924,4924,26,no
Binary Lifting,450,5,0,492,0.518500,5912,5912,26,no
Basic BFS,450,10,0,492,0.101900,919,919,54,no
TwoWays BFS,450,10,0,492,3.668300,31329,31329,54,no
LCA,450,10,0,492,0.382900,4924,4924,54,no
Binary Lifting,450,10,0,492,0.505500,5912,5912,54,no
Basic BFS,450,20,0,492,0.119500,1348,1348,0,no
TwoWays BFS,450,20,0,492,3.560400,31329,31329,0,no
LCA,450,20,0,492,0.384000,4924,4924,0,no
Binary Lifting,450,20,0,492,0.509900,5912,5912,0,no
Basic BFS,460,1,0,502,0.002600,5,5,2,no
TwoWays BFS,460,1,0,502,3.039600,27862,27862,2,no
LCA,460,1,0,502,0.374900,4859,4859,2,no
Binary Lifting,460,1,0,502,0.524100,6025,6025,2,no
Basic BFS,460,5,0,502,0.031400,149,149,29,no
TwoWays BFS,460,5,0,502,3.042000,27862,27862,29,no
LCA,460,5,0,502,0.393300,4859,4859,29,no
Binary Lifting,460,5,0,502,0.523600,6025,6025,29,no
Basic BFS,460,10,0,502,0.103700,989,989,68,no
TwoWays BFS,460,10,0,502,3.249700,27862,27862,68,no
LCA,460,10,0,502,0.388600,4859,4859,68,no
Binary Lifting,460,10,0,502,0.520200,6025,6025,68,no
Basic BFS,460,20,0,502,0.140300,1378,1378,0,no
TwoWays BFS,460,20,0,502,3.046900,27862,27862,0,no
LCA,460,20,0,502,0.383000,4859,4859,0,no
Binary Lifting,460,20,0,502,0.519400,6025,6025,0,no
Basic BFS,470,1,0,512,0.002600,5,5,2,no
TwoWays BFS,470,1,0,512,3.281800,29702,29702,2,no
LCA,470,1,0,512,0.386100,5083,5083,2,no
Binary Lifting,470,1,0,512,0.535100,6174,6174,2,no
Basic BFS,470,5,0,512,0.032500,135,135,25,no
TwoWays BFS,470,5,0,512,3.285000,29702,29702,25,no
LCA,470,5,0,512,0.401500,5083,5083,25,no
Binary Lifting,470,5,0,512,0.533100,6174,6174,25,no
Basic BFS,470,10,0,512,0.094900,967,967,60,no
TwoWays BFS,470,10,0,512,3.547300,29702,29702,60,no
LCA,470,10,0,512,0.410300,5083,5083,60,no
Binary Lifting,470,10,0,512,0.532900,6174,6174,60,no
Basic BFS,470,20,0,512,0.141300,1408,1408,0,no
TwoWays BFS,470,20,0,512,3.263200,29702,29702,0,no
LCA,470,20,0,512,0.402400,5083,5083,0,no
Binary Lifting,470,20,0,512,0.534200,6174,6174,0,no
Basic BFS,480,1,0,522,0.003000,5,5,2,no
TwoWays BFS,480,1,0,522,3.716100,33640,33640,2,no
LCA,480,1,0,522,0.399500,5210,5210,2,no
Binary Lifting,480,1,0,522,0.562500,6308,6308,2,no
Basic BFS,480,5,0,522,0.030800,143,143,26,no
TwoWays BFS,480,5,0,522,3.648000,33640,33640,26,no
LCA,480,5,0,522,0.419300,5210,5210,26,no
Binary Lifting,480,5,0,522,0.549200,6308,6308,26,no
Basic BFS,480,10,0,522,0.095400,956,956,62,no
TwoWays BFS,480,10,0,522,3.866300,33640,33640,62,no
LCA,480,10,0,522,0.409800,5210,5210,62,no
Binary Lifting,480,10,0,522,0.548900,6308,6308,62,no
Basic BFS,480,20,0,522,0.127700,1438,1438,0,no
TwoWays BFS,480,20,0,522,3.672400,33640,33640,0,no
LCA,480,20,0,522,0.401400,5210,5210,0,no
Binary Lifting,480,20,0,522,0.547300,6308,6308,0,no
Basic BFS,490,1,0,532,0.002500,5,5,2,no
TwoWays BFS,490,1,0,532,3.716700,34402,34402,2,no
LCA,490,1,0,532,0.402000,5375,5375,2,no
Binary Lifting,490,1,0,532,0.561300,6460,6460,2,no
Basic BFS,490,5,0,532,0.030200,144,144,28,no
TwoWays BFS,490,5,0,532,3.751600,34402,34402,28,no
LCA,490,5,0,532,0.422800,5375,5375,28,no
Binary Lifting,490,5,0,532,0.570200,6460,6460,28,no
Basic BFS,490,10,0,532,0.097300,937,937,54,no
TwoWays BFS,490,10,0,532,3.739900,34402,34402,54,no
LCA,490,10,0,532,0.418200,5375,5375,54,no
Binary Lifting,490,10,0,532,0.562600,6460,6460,54,no
Basic BFS,490,20,0,532,0.166300,1468,1468,0,no
TwoWays BFS,490,20,0,532,3.711000,34402,34402,0,no
LCA,490,20,0,532,0.419300,5375,5375,0,no
Binary Lifting,490,20,0,532,0.566000,6460,6460,0,no
Basic BFS,500,1,0,542,0.002700,5,5,2,no
TwoWays BFS,500,1,0,542,3.098700,27586,27586,2,no
LCA,500,1,0,542,0.393300,5006,5006,2,no
Binary Lifting,500,1,0,542,0.564100,6511,6511,2,no
Basic BFS,500,5,0,542,0.022500,155,155,32,no
TwoWays BFS,500,5,0,542,3.245300,27586,27586,32,no
LCA,500,5,0,542,0.411300,5006,5006,32,no
Binary Lifting,500,5,0,542,0.566000,6511,6511,32,no
Basic BFS,500,10,0,542,0.121100,1238,1238,62,no
TwoWays BFS,500,10,0,542,3.284700,27586,27586,62,no
LCA,500,10,0,542,0.416500,5006,5006,62,no
Binary Lifting,500,10,0,542,0.559000,6511,6511,62,no
Basic BFS,500,20,0,542,0.151600,1498,1498,0,no
TwoWays BFS,500,20,0,542,3.066700,27586,27586,0,no
LCA,500,20,0,542,0.405900,5006,5006,0,no
Binary Lifting,500,20,0,542,0.561600,6511,6511,0,no
Basic BFS,510,1,0,552,0.002500,5,5,2,no
TwoWays BFS,510,1,0,552,3.509200,31159,31159,2,no
LCA,510,1,0,552,0.402900,5248,5248,2,no
Binary Lifting,510,1,0,552,0.795100,6651,6651,2,no
Basic BFS,510,5,0,552,0.032100,153,153,31,no
TwoWays BFS,510,5,0,552,3.783400,31159,31159,31,no
LCA,510,5,0,552,0.420000,5248,5248,31,no
Binary Lifting,510,5,0,552,0.566500,6651,6651,31,no
Basic BFS,510,10,0,552,0.112100,1181,1181,68,no
TwoWays BFS,510,10,0,552,3.562100,31159,31159,68,no
LCA,510,10,0,552,0.425500,5248,5248,68,no
Binary Lifting,510,10,0,552,0.591600,6651,6651,68,no
Basic BFS,510,20,0,552,0.159300,1528,1528,0,no
TwoWays BFS,510,20,0,552,3.554400,31159,31159,0,no
